"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387750.95	-11	2	-11	2
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387750.98	-11	3	-11	3
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.02	-11	4	-11	4
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.05	-9	6	-9	6
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.08	-7	9	-7	9
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.12	-7	9	-7	9
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.15	-6	9	-6	9
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.18	-5	9	-5	9
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.22	-4	8	-4	8
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.25	-3	8	-3	8
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.28	-1	7	-1	7
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.32	-1	7	-1	7
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.35	-1	7	-1	7
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.38	0	8	0	8
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.42	5	12	5	12
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.45	10	19	10	19
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.48	15	25	15	25
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.52	21	33	21	33
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.55	29	40	29	40
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.58	36	47	36	47
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.62	45	56	45	56
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.65	55	66	55	66
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.68	65	75	65	75
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.72	73	83	73	83
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.75	81	91	81	91
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.78	88	99	88	99
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.82	94	107	94	107
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.85	101	116	101	116
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.88	109	125	109	125
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.92	116	132	116	132
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.95	126	144	126	144
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387751.98	135	154	135	154
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.02	144	164	144	164
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.05	155	176	155	176
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.08	166	186	166	186
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.12	177	197	177	197
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.15	187	206	187	206
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.18	197	217	197	217
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.22	208	227	208	227
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.25	216	235	216	235
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.28	224	244	224	244
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.32	230	251	230	251
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.35	234	257	234	257
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.39	237	263	237	263
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.42	241	268	241	268
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.45	244	274	244	274
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.48	248	280	248	280
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.52	250	284	250	284
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.55	253	289	253	289
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.59	256	294	256	294
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.62	259	298	259	298
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.65	263	303	263	303
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.69	268	309	268	309
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.72	273	314	273	314
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.75	278	320	278	320
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.79	283	325	283	325
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.82	287	330	287	330
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.85	291	334	291	334
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.89	294	337	294	337
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.92	297	340	297	340
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.95	301	344	301	344
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387752.99	306	350	306	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.02	313	357	313	357
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.05	319	363	319	363
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.09	325	368	325	368
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.12	327	370	327	370
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.15	329	371	329	371
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.19	331	374	331	374
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.22	334	376	334	376
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.25	337	380	337	380
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.29	340	383	340	383
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.32	343	387	343	387
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.35	345	388	345	388
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.39	345	389	345	389
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.42	346	390	346	390
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.45	346	391	346	391
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.49	347	393	347	393
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.52	347	395	347	395
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.55	347	396	347	396
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.59	345	397	345	397
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.62	342	398	342	398
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.65	336	399	336	399
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.69	330	398	330	398
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.72	325	397	325	397
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.75	320	395	320	395
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.79	315	394	315	394
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.82	305	392	305	392
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.85	295	389	295	389
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.89	283	384	283	384
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.92	273	380	273	380
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.95	266	376	266	376
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387753.99	257	371	257	371
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.02	250	367	250	367
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.05	241	364	241	364
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.09	233	360	233	360
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.12	226	357	226	357
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.15	221	355	221	355
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.19	220	355	220	355
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.22	220	355	220	355
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.25	219	354	219	354
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.29	218	352	218	352
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.32	216	351	216	351
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.35	215	350	215	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.39	215	350	215	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.42	215	350	215	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.45	215	350	215	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.49	215	350	215	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.52	215	350	215	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.55	215	350	215	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.59	215	350	215	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.62	215	350	215	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.65	215	350	215	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.69	215	350	215	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.72	215	350	215	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.75	215	350	215	350
16	"1"	"1"	1	FALSE	0	45	100	0	-196	395.979797464	395.979797464	1551387754.79	215	350	215	350
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.47	-6	6	-6	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.49	-4	7	-4	7
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.52	-2	6	-2	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.56	-1	6	-1	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.59	1	6	1	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.62	2	6	2	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.66	3	6	3	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.69	4	6	4	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.72	4	6	4	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.76	4	6	4	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.79	4	6	4	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.82	4	6	4	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.86	4	6	4	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.89	4	6	4	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.92	4	6	4	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.96	4	6	4	6
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387757.99	2	10	2	10
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.02	-1	16	-1	16
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.06	-5	24	-5	24
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.09	-9	33	-9	33
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.12	-12	44	-12	44
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.16	-15	55	-15	55
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.19	-17	67	-17	67
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.22	-19	80	-19	80
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.26	-21	90	-21	90
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.29	-23	101	-23	101
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.32	-25	111	-25	111
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.36	-26	120	-26	120
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.39	-27	129	-27	129
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.42	-29	140	-29	140
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.46	-30	155	-30	155
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.49	-30	170	-30	170
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.52	-29	190	-29	190
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.56	-28	214	-28	214
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.59	-25	232	-25	232
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.62	-23	253	-23	253
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.66	-21	269	-21	269
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.69	-19	285	-19	285
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.72	-16	303	-16	303
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.76	-13	319	-13	319
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.79	-10	334	-10	334
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.82	-8	344	-8	344
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.86	-7	354	-7	354
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.89	-6	361	-6	361
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.92	-5	369	-5	369
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.96	-4	376	-4	376
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387758.99	-3	385	-3	385
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.02	-2	393	-2	393
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.06	-1	400	-1	400
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.09	0	410	0	410
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.12	1	419	1	419
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.16	1	426	1	426
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.19	1	434	1	434
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.22	1	439	1	439
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.26	1	444	1	444
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.29	0	447	0	447
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.32	-1	450	-1	450
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.36	-3	453	-3	453
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.39	-5	457	-5	457
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.42	-8	461	-8	461
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.46	-11	465	-11	465
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.49	-13	469	-13	469
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.52	-16	473	-16	473
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.56	-19	477	-19	477
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.59	-24	483	-24	483
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.62	-29	486	-29	486
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.66	-34	489	-34	489
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.69	-38	492	-38	492
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.72	-41	493	-41	493
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.76	-42	493	-42	493
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.79	-42	493	-42	493
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.82	-43	493	-43	493
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.86	-43	494	-43	494
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.89	-44	494	-44	494
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.92	-45	494	-45	494
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.96	-46	495	-46	495
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387759.99	-46	495	-46	495
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.02	-48	494	-48	494
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.06	-48	494	-48	494
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.09	-50	493	-50	493
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.12	-51	493	-51	493
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.16	-52	492	-52	492
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.19	-52	491	-52	491
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.22	-53	491	-53	491
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.26	-53	489	-53	489
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.29	-54	487	-54	487
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.32	-54	485	-54	485
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.36	-54	483	-54	483
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.39	-53	480	-53	480
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.42	-52	478	-52	478
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.46	-52	478	-52	478
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.49	-52	478	-52	478
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.52	-52	478	-52	478
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.56	-52	478	-52	478
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.59	-52	478	-52	478
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.62	-52	478	-52	478
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.66	-52	478	-52	478
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.69	-52	478	-52	478
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.72	-52	478	-52	478
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.76	-52	478	-52	478
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.79	-52	478	-52	478
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.82	-52	478	-52	478
16	"1"	"1"	2	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1551387760.86	-52	478	-52	478
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.31	13	-4	13	-4
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.33	13	-4	13	-4
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.36	13	-4	13	-4
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.39	13	-4	13	-4
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.43	13	-4	13	-4
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.46	13	-5	13	-5
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.49	13	-5	13	-5
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.53	13	-5	13	-5
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.56	13	-5	13	-5
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.59	13	-5	13	-5
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.63	13	-4	13	-4
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.66	13	-4	13	-4
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.69	13	-4	13	-4
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.73	13	-4	13	-4
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.76	11	-2	11	-2
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.79	9	-1	9	-1
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.83	5	2	5	2
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.86	2	5	2	5
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.89	-3	10	-3	10
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.93	-10	15	-10	15
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.96	-18	20	-18	20
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387763.99	-30	27	-30	27
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387764.03	-42	34	-42	34
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387764.06	-54	41	-54	41
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387764.09	-63	45	-63	45
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387764.13	-72	49	-72	49
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387764.16	-80	54	-80	54
16	"1"	"1"	3	FALSE	0	135	100	0	-196	-395.979797464	395.979797464	1551387764.19	-87	59	-87	59
